year,fuel_type,price
1990,Compressed Natural Gas,0.0
1990,Diesel,47.3
1990,Premium Gasoline,59.75
1990,Regular Unleaded Gasoline,55.05
1991,Compressed Natural Gas,0.0
1991,Diesel,51.849999999999994
1991,Premium Gasoline,60.6
1991,Regular Unleaded Gasoline,54.849999999999994
1992,Compressed Natural Gas,0.0
1992,Diesel,50.7
1992,Premium Gasoline,60.8
1992,Regular Unleaded Gasoline,54.1
1993,Compressed Natural Gas,0.0
1993,Diesel,50.7
1993,Premium Gasoline,60.45
1993,Regular Unleaded Gasoline,52.9
1994,Compressed Natural Gas,0.0
1994,Diesel,49.3
1994,Premium Gasoline,58.3
1994,Regular Unleaded Gasoline,51.05
1995,Compressed Natural Gas,0.0
1995,Diesel,48.6
1995,Premium Gasoline,61.85
1995,Regular Unleaded Gasoline,53.9
1996,Compressed Natural Gas,0.0
1996,Diesel,52.1
1996,Premium Gasoline,66.2
1996,Regular Unleaded Gasoline,57.3
1997,Compressed Natural Gas,0.0
1997,Diesel,51.9
1997,Premium Gasoline,66.9
1997,Regular Unleaded Gasoline,57.3
1998,Compressed Natural Gas,0.0
1998,Diesel,49.2
1998,Premium Gasoline,62.95
1998,Regular Unleaded Gasoline,52.5
1999,Compressed Natural Gas,0.0
1999,Diesel,45.9
1999,Premium Gasoline,67.35
1999,Regular Unleaded Gasoline,57.35
2000,Compressed Natural Gas,0.0
2000,Diesel,64.5
2000,Premium Gasoline,82.05
2000,Regular Unleaded Gasoline,71.9
2001,Compressed Natural Gas,0.0
2001,Diesel,65.8
2001,Premium Gasoline,77.0
2001,Regular Unleaded Gasoline,66.9
2002,Compressed Natural Gas,0.0
2002,Diesel,58.9
2002,Premium Gasoline,76.55
2002,Regular Unleaded Gasoline,66.7
2003,Compressed Natural Gas,0.0
2003,Diesel,61.599999999999994
2003,Premium Gasoline,77.45
2003,Regular Unleaded Gasoline,67.05
2004,Compressed Natural Gas,0.0
2004,Diesel,70.85
2004,Premium Gasoline,87.85
2004,Regular Unleaded Gasoline,77.5
2005,Compressed Natural Gas,0.0
2005,Diesel,87.9
2005,Premium Gasoline,99.25
2005,Regular Unleaded Gasoline,88.55
2006,Compressed Natural Gas,0.0
2006,Diesel,93.35
2006,Premium Gasoline,105.25
2006,Regular Unleaded Gasoline,94.5
2007,Compressed Natural Gas,0.0
2007,Diesel,94.2
2007,Premium Gasoline,110.65
2007,Regular Unleaded Gasoline,99.85
2008,Compressed Natural Gas,0.0
2008,Diesel,121.6
2008,Premium Gasoline,121.7
2008,Regular Unleaded Gasoline,109.6
2009,Compressed Natural Gas,0.0
2009,Diesel,88.45
2009,Premium Gasoline,105.69999999999999
2009,Regular Unleaded Gasoline,94.0
2010,Compressed Natural Gas,0.0
2010,Diesel,98.45
2010,Premium Gasoline,112.9
2010,Regular Unleaded Gasoline,100.45
2011,Compressed Natural Gas,0.0
2011,Diesel,124.05000000000001
2011,Premium Gasoline,137.7
2011,Regular Unleaded Gasoline,124.15
2012,Compressed Natural Gas,0.0
2012,Diesel,124.44999999999999
2012,Premium Gasoline,139.85000000000002
2012,Regular Unleaded Gasoline,126.05
2013,Compressed Natural Gas,0.0
2013,Diesel,127.2
2013,Premium Gasoline,141.2
2013,Regular Unleaded Gasoline,126.9
2014,Compressed Natural Gas,0.0
2014,Diesel,131.89999999999998
2014,Premium Gasoline,144.7
2014,Regular Unleaded Gasoline,129.95
2015,Compressed Natural Gas,0.0
2015,Diesel,108.4
2015,Premium Gasoline,119.45
2015,Regular Unleaded Gasoline,103.35
2016,Compressed Natural Gas,0.0
2016,Diesel,92.65
2016,Premium Gasoline,117.2
2016,Regular Unleaded Gasoline,100.45
2017,Compressed Natural Gas,0.0
2017,Diesel,106.35
2017,Premium Gasoline,129.05
2017,Regular Unleaded Gasoline,111.6
2018,Diesel,126.9
2018,Premium Gasoline,145.6
2018,Regular Unleaded Gasoline,127.4
2019,Compressed Natural Gas,0.0
2019,Diesel,118.9
2019,Premium Gasoline,138.35000000000002
2019,Regular Unleaded Gasoline,117.1
2020,Compressed Natural Gas,0.0
2020,Diesel,98.65
2020,Premium Gasoline,124.6
2020,Regular Unleaded Gasoline,102.0
2021,Compressed Natural Gas,0.0
2021,Diesel,126.75
2021,Premium Gasoline,157.7
2021,Regular Unleaded Gasoline,132.9
2022,Compressed Natural Gas,0.0
2022,Diesel,199.8
2022,Premium Gasoline,191.2
2022,Regular Unleaded Gasoline,166.3
